model,split,alpha,compare,f1_a,f1_b,delta_f1,ci_low,ci_high,p_f1,acc_a,acc_b,delta_acc,acc_ci_low,acc_ci_high,p_acc,n
Qwen/Qwen2.5-VL-7B-Instruct,adversarial,0.25,ours_vs_vanilla,0.8351648351648352,0.8306010928961749,0.004563742268660298,0.0,0.015039493930815578,0.7442,0.85,0.845,0.0050000000000000044,0.0,0.015000000000000013,0.7442,200
Qwen/Qwen2.5-VL-7B-Instruct,adversarial,0.25,ours_vs_pai,0.8351648351648352,0.8306010928961749,0.004563742268660298,0.0,0.015039493930815578,0.7442,0.85,0.845,0.0050000000000000044,0.0,0.015000000000000013,0.7442,200
Qwen/Qwen2.5-VL-7B-Instruct,adversarial,0.5,ours_vs_vanilla,0.8415300546448088,0.8306010928961749,0.010928961748633892,0.0,0.02910117121282166,0.27,0.855,0.845,0.010000000000000009,0.0,0.025000000000000022,0.27,200
Qwen/Qwen2.5-VL-7B-Instruct,adversarial,0.5,ours_vs_pai,0.8415300546448088,0.8241758241758242,0.017354230468984544,0.0,0.03997965756415656,0.097,0.855,0.84,0.015000000000000013,0.0,0.03499999999999992,0.097,200
Qwen/Qwen2.5-VL-7B-Instruct,adversarial,0.75,ours_vs_vanilla,0.8351648351648352,0.8306010928961749,0.004563742268660298,-0.014286081188176994,0.025251258619511628,0.7758,0.85,0.845,0.0050000000000000044,-0.010000000000000009,0.02499999999999991,0.7748,200
Qwen/Qwen2.5-VL-7B-Instruct,adversarial,0.75,ours_vs_pai,0.8351648351648352,0.8241758241758242,0.01098901098901095,-0.011871111498599901,0.03630903358765503,0.4378,0.85,0.84,0.010000000000000009,-0.010000000000000009,0.030000000000000027,0.4368,200
Qwen/Qwen2.5-VL-7B-Instruct,adversarial,1.0,ours_vs_vanilla,0.8222222222222222,0.8306010928961749,-0.00837887067395271,-0.03733477806654679,0.01776874600612109,0.4950000000000001,0.84,0.845,-0.0050000000000000044,-0.025000000000000022,0.015000000000000013,0.5062,200
Qwen/Qwen2.5-VL-7B-Instruct,adversarial,1.0,ours_vs_pai,0.8222222222222222,0.8241758241758242,-0.0019536019536020577,-0.019467521297958288,0.01297172865217218,0.6606000000000001,0.84,0.84,0.0,-0.015000000000000013,0.015000000000000013,0.6686000000000001,200
Qwen/Qwen2.5-VL-7B-Instruct,popular,0.25,ours_vs_vanilla,0.8351648351648352,0.8351648351648352,0.0,0.0,0.0,0.0,0.85,0.85,0.0,0.0,0.0,0.0,200
Qwen/Qwen2.5-VL-7B-Instruct,popular,0.25,ours_vs_pai,0.8351648351648352,0.8351648351648352,0.0,0.0,0.0,0.0,0.85,0.85,0.0,0.0,0.0,0.0,200
Qwen/Qwen2.5-VL-7B-Instruct,popular,0.5,ours_vs_vanilla,0.8415300546448088,0.8351648351648352,0.006365219479973594,0.0,0.021345544205706227,0.73,0.855,0.85,0.0050000000000000044,0.0,0.015000000000000013,0.73,200
Qwen/Qwen2.5-VL-7B-Instruct,popular,0.5,ours_vs_pai,0.8415300546448088,0.8287292817679558,0.012800772876852995,0.0,0.033667476800920686,0.2602,0.855,0.845,0.010000000000000009,0.0,0.025000000000000022,0.2602,200
Qwen/Qwen2.5-VL-7B-Instruct,popular,0.75,ours_vs_vanilla,0.8351648351648352,0.8351648351648352,0.0,-0.01840698001688723,0.01914975240790125,0.7148000000000001,0.85,0.85,0.0,-0.015000000000000013,0.015000000000000013,0.7148000000000001,200
Qwen/Qwen2.5-VL-7B-Instruct,popular,0.75,ours_vs_pai,0.8351648351648352,0.8287292817679558,0.006435553396879401,-0.013841309387867987,0.029610976494101413,0.7648,0.85,0.845,0.0050000000000000044,-0.010000000000000009,0.020000000000000018,0.7648,200
Qwen/Qwen2.5-VL-7B-Instruct,popular,1.0,ours_vs_vanilla,0.8222222222222222,0.8351648351648352,-0.012942612942613008,-0.04044008325899484,0.012318029115341415,0.19819999999999993,0.84,0.85,-0.010000000000000009,-0.030000000000000027,0.010000000000000009,0.19819999999999993,200
Qwen/Qwen2.5-VL-7B-Instruct,popular,1.0,ours_vs_pai,0.8222222222222222,0.8287292817679558,-0.006507059545733607,-0.02139570552147252,0.0,0.0,0.84,0.845,-0.0050000000000000044,-0.015000000000000013,0.0,0.0,200
Qwen/Qwen2.5-VL-7B-Instruct,random,0.25,ours_vs_vanilla,0.8491620111731844,0.8491620111731844,0.0,0.0,0.0,0.0,0.865,0.865,0.0,0.0,0.0,0.0,200
Qwen/Qwen2.5-VL-7B-Instruct,random,0.25,ours_vs_pai,0.8491620111731844,0.8491620111731844,0.0,0.0,0.0,0.0,0.865,0.865,0.0,0.0,0.0,0.0,200
Qwen/Qwen2.5-VL-7B-Instruct,random,0.5,ours_vs_vanilla,0.8555555555555555,0.8491620111731844,0.0063935443823711635,0.0,0.02143121080026378,0.73,0.87,0.865,0.0050000000000000044,0.0,0.015000000000000013,0.73,200
Qwen/Qwen2.5-VL-7B-Instruct,random,0.5,ours_vs_pai,0.8555555555555555,0.8426966292134831,0.012858926342072419,0.0,0.033957444821133775,0.2602,0.87,0.86,0.010000000000000009,0.0,0.025000000000000022,0.2602,200
Qwen/Qwen2.5-VL-7B-Instruct,random,0.75,ours_vs_vanilla,0.8491620111731844,0.8491620111731844,0.0,-0.018458884416331145,0.019245619245619183,0.7148000000000001,0.865,0.865,0.0,-0.015000000000000013,0.015000000000000013,0.7148000000000001,200
Qwen/Qwen2.5-VL-7B-Instruct,random,0.75,ours_vs_pai,0.8491620111731844,0.8426966292134831,0.006465381959701255,-0.013913147119603791,0.029766098448003087,0.7648,0.865,0.86,0.0050000000000000044,-0.010000000000000009,0.020000000000000018,0.7648,200
Qwen/Qwen2.5-VL-7B-Instruct,random,1.0,ours_vs_vanilla,0.8361581920903954,0.8491620111731844,-0.013003819082788914,-0.04061507259629368,0.012372160938492029,0.19819999999999993,0.855,0.865,-0.010000000000000009,-0.030000000000000027,0.010000000000000009,0.19819999999999993,200
Qwen/Qwen2.5-VL-7B-Instruct,random,1.0,ours_vs_pai,0.8361581920903954,0.8426966292134831,-0.006538437123087659,-0.02150959846961607,0.0,0.0,0.855,0.86,-0.0050000000000000044,-0.015000000000000013,0.0,0.0,200
Qwen/Qwen2.5-VL-7B-Instruct,pooled,0.25,ours_vs_vanilla,0.839779005524862,0.838235294117647,0.0015437114072149871,0.0,0.004887848186835234,0.7182,0.855,0.8533333333333334,0.0016666666666665941,0.0,0.0050000000000000044,0.7182,600
Qwen/Qwen2.5-VL-7B-Instruct,pooled,0.25,ours_vs_pai,0.839779005524862,0.838235294117647,0.0015437114072149871,0.0,0.004887848186835234,0.7182,0.855,0.8533333333333334,0.0016666666666665941,0.0,0.0050000000000000044,0.7182,600
Qwen/Qwen2.5-VL-7B-Instruct,pooled,0.5,ours_vs_vanilla,0.8461538461538461,0.838235294117647,0.007918552036199178,0.001525552314786599,0.01644104887201222,0.0366,0.86,0.8533333333333334,0.006666666666666599,0.0016666666666665941,0.013333333333333308,0.0366,600
Qwen/Qwen2.5-VL-7B-Instruct,pooled,0.5,ours_vs_pai,0.8461538461538461,0.8317929759704252,0.014360870183420915,0.004380828004132087,0.025725664937755563,0.0024,0.86,0.8483333333333334,0.011666666666666603,0.0033333333333334103,0.021666666666666612,0.0024,600
Qwen/Qwen2.5-VL-7B-Instruct,pooled,0.75,ours_vs_vanilla,0.839779005524862,0.838235294117647,0.0015437114072149871,-0.00888591063414119,0.012058225029733487,0.8554,0.855,0.8533333333333334,0.0016666666666665941,-0.00666666666666671,0.010000000000000009,0.8522,600
Qwen/Qwen2.5-VL-7B-Instruct,pooled,0.75,ours_vs_pai,0.839779005524862,0.8317929759704252,0.007986029554436724,-0.004585073399665751,0.021292655208470606,0.2578,0.855,0.8483333333333334,0.006666666666666599,-0.0033333333333332993,0.01666666666666672,0.257,600
Qwen/Qwen2.5-VL-7B-Instruct,pooled,1.0,ours_vs_vanilla,0.8268156424581006,0.838235294117647,-0.011419651659546393,-0.026518997404664953,0.0031570579840466836,0.11420000000000008,0.845,0.8533333333333334,-0.008333333333333415,-0.020000000000000018,0.0033333333333332993,0.11719999999999997,600
Qwen/Qwen2.5-VL-7B-Instruct,pooled,1.0,ours_vs_pai,0.8268156424581006,0.8317929759704252,-0.004977333512324655,-0.013675321181374493,0.002123446934417839,0.18280000000000007,0.845,0.8483333333333334,-0.0033333333333334103,-0.010000000000000009,0.0033333333333332993,0.1916,600
