model,split,alpha,compare,f1_a,f1_b,delta_f1,ci_low,ci_high,p_f1,acc_a,acc_b,delta_acc,acc_ci_low,acc_ci_high,p_acc,n
llava-hf/llava-1.5-7b-hf,adversarial,0.25,ours_vs_vanilla,0.7639484978540773,0.7619047619047619,0.002043735949315395,-0.00968502249010166,0.015821633811013317,0.9268,0.725,0.725,0.0,-0.015000000000000013,0.015000000000000013,0.7088000000000001,200
llava-hf/llava-1.5-7b-hf,adversarial,0.25,ours_vs_pai,0.7639484978540773,0.7574468085106382,0.006501689343439088,-0.006250108508828123,0.02012917728678727,0.4512,0.725,0.715,0.010000000000000009,-0.010000000000000009,0.030000000000000027,0.4512,200
llava-hf/llava-1.5-7b-hf,adversarial,0.5,ours_vs_vanilla,0.7679324894514767,0.7619047619047619,0.006027727546714878,-0.01385594337136187,0.028064581236574945,0.5906,0.725,0.725,0.0,-0.025000000000000022,0.025000000000000022,0.8402000000000001,200
llava-hf/llava-1.5-7b-hf,adversarial,0.5,ours_vs_pai,0.7679324894514767,0.7647058823529412,0.0032266070985355055,-0.015318406179544575,0.021570799296686646,0.7832,0.725,0.72,0.0050000000000000044,-0.015000000000000013,0.025000000000000022,0.8244,200
llava-hf/llava-1.5-7b-hf,adversarial,0.75,ours_vs_vanilla,0.759493670886076,0.7619047619047619,-0.0024110910186858625,-0.021164197934023854,0.017791560070051747,0.7846,0.715,0.725,-0.010000000000000009,-0.03500000000000003,0.015000000000000013,0.29780000000000006,200
llava-hf/llava-1.5-7b-hf,adversarial,0.75,ours_vs_pai,0.759493670886076,0.7698744769874478,-0.01038080610137182,-0.02909851798708815,0.004239018759883564,0.17300000000000004,0.715,0.725,-0.010000000000000009,-0.030000000000000027,0.010000000000000009,0.19019999999999992,200
llava-hf/llava-1.5-7b-hf,adversarial,1.0,ours_vs_vanilla,0.7679324894514767,0.7619047619047619,0.006027727546714878,-0.013536914612356444,0.028535754976540293,0.5982,0.725,0.725,0.0,-0.025000000000000022,0.025000000000000022,0.8322,200
llava-hf/llava-1.5-7b-hf,adversarial,1.0,ours_vs_pai,0.7679324894514767,0.7666666666666666,0.0012658227848101333,-0.013005001923816711,0.014097883351793149,0.8514,0.725,0.72,0.0050000000000000044,-0.010000000000000009,0.02499999999999991,0.7788,200
llava-hf/llava-1.5-7b-hf,popular,0.25,ours_vs_vanilla,0.827906976744186,0.8262910798122066,0.001615896931979388,-0.011228108857930779,0.016301558767434374,0.9454,0.815,0.815,0.0,-0.015000000000000013,0.015000000000000013,0.7058,200
llava-hf/llava-1.5-7b-hf,popular,0.25,ours_vs_pai,0.827906976744186,0.827906976744186,0.0,-0.011492153227663398,0.011427793798401477,0.69,0.815,0.815,0.0,-0.015000000000000013,0.015000000000000013,0.69,200
llava-hf/llava-1.5-7b-hf,popular,0.5,ours_vs_vanilla,0.834862385321101,0.8262910798122066,0.0085713055088944,-0.01146373589322749,0.031370922482584045,0.4372,0.82,0.815,0.0050000000000000044,-0.015000000000000013,0.025000000000000022,0.8236,200
llava-hf/llava-1.5-7b-hf,popular,0.5,ours_vs_pai,0.834862385321101,0.8310502283105023,0.0038121570105986713,-0.012136302611752012,0.020833333333333263,0.7988,0.82,0.815,0.0050000000000000044,-0.010000000000000009,0.020000000000000018,0.7946,200
llava-hf/llava-1.5-7b-hf,popular,0.75,ours_vs_vanilla,0.8256880733944955,0.8262910798122066,-0.0006030064177111605,-0.020016573232388455,0.020292476864567616,0.9159999999999999,0.81,0.815,-0.004999999999999893,-0.025000000000000022,0.015000000000000013,0.49140000000000006,200
llava-hf/llava-1.5-7b-hf,popular,0.75,ours_vs_pai,0.8256880733944955,0.8363636363636364,-0.010675562969140961,-0.02810714101553583,0.0,0.0,0.81,0.82,-0.009999999999999898,-0.025000000000000022,0.0,0.0,200
llava-hf/llava-1.5-7b-hf,popular,1.0,ours_vs_vanilla,0.834862385321101,0.8262910798122066,0.0085713055088944,-0.01146373589322749,0.031370922482584045,0.4372,0.82,0.815,0.0050000000000000044,-0.015000000000000013,0.025000000000000022,0.8236,200
llava-hf/llava-1.5-7b-hf,popular,1.0,ours_vs_pai,0.834862385321101,0.8363636363636364,-0.0015012510425354009,-0.015922405043802323,0.011209908697518853,0.6779999999999999,0.82,0.82,0.0,-0.015000000000000013,0.015000000000000013,0.6843999999999999,200
llava-hf/llava-1.5-7b-hf,random,0.25,ours_vs_vanilla,0.8599033816425121,0.8585365853658536,0.0013667962766584774,-0.012111018580892054,0.016356734349973433,0.9544,0.855,0.855,0.0,-0.015000000000000013,0.015000000000000013,0.6934,200
llava-hf/llava-1.5-7b-hf,random,0.25,ours_vs_pai,0.8599033816425121,0.8725490196078431,-0.012645637965331025,-0.028571428571428473,0.0,0.0,0.855,0.87,-0.015000000000000013,-0.03500000000000003,0.0,0.0,200
llava-hf/llava-1.5-7b-hf,random,0.5,ours_vs_vanilla,0.8708133971291866,0.8585365853658536,0.012276811763332951,-0.006395226777579826,0.034844160436451936,0.2172,0.865,0.855,0.010000000000000009,-0.010000000000000009,0.030000000000000027,0.449,200
llava-hf/llava-1.5-7b-hf,random,0.5,ours_vs_pai,0.8708133971291866,0.8708133971291866,0.0,-0.019574962663198074,0.019397353991649404,0.9044000000000001,0.865,0.865,0.0,-0.020000000000000018,0.020000000000000018,0.7998000000000001,200
llava-hf/llava-1.5-7b-hf,random,0.75,ours_vs_vanilla,0.8695652173913043,0.8585365853658536,0.01102863202545068,-0.006934965071802892,0.031915429561676055,0.2786,0.865,0.855,0.010000000000000009,-0.010000000000000009,0.030000000000000027,0.4604,200
llava-hf/llava-1.5-7b-hf,random,0.75,ours_vs_pai,0.8695652173913043,0.8679245283018868,0.001640689089417502,-0.02006449275315806,0.02230843232815508,0.8774,0.865,0.86,0.0050000000000000044,-0.015000000000000013,0.029999999999999916,0.8304,200
llava-hf/llava-1.5-7b-hf,random,1.0,ours_vs_vanilla,0.8708133971291866,0.8585365853658536,0.012276811763332951,-0.009662776809165935,0.037462609003041214,0.3016,0.865,0.855,0.010000000000000009,-0.015000000000000013,0.03500000000000003,0.5312,200
llava-hf/llava-1.5-7b-hf,random,1.0,ours_vs_pai,0.8708133971291866,0.8598130841121495,0.011000313017037078,-0.007359575036712814,0.031142438717218,0.2636,0.865,0.85,0.015000000000000013,-0.0050000000000000044,0.039999999999999925,0.2502,200
llava-hf/llava-1.5-7b-hf,pooled,0.25,ours_vs_vanilla,0.8152671755725189,0.8135593220338982,0.001707853538620685,-0.005513477772183262,0.009414418966001053,0.6916,0.7983333333333333,0.7983333333333333,0.0,-0.008333333333333304,0.008333333333333304,0.8302,600
llava-hf/llava-1.5-7b-hf,pooled,0.25,ours_vs_pai,0.8152671755725189,0.8165137614678899,-0.0012465858953709663,-0.008730133957472814,0.00618379609484771,0.6215999999999999,0.7983333333333333,0.8,-0.0016666666666667052,-0.011666666666666714,0.008333333333333304,0.6215999999999999,600
llava-hf/llava-1.5-7b-hf,pooled,0.5,ours_vs_vanilla,0.822289156626506,0.8135593220338982,0.008729834592607788,-0.0027781409878324197,0.021244192640258924,0.1486,0.8033333333333333,0.7983333333333333,0.0050000000000000044,-0.00666666666666671,0.018333333333333313,0.5082,600
llava-hf/llava-1.5-7b-hf,pooled,0.5,ours_vs_pai,0.822289156626506,0.8198198198198198,0.002469336806686262,-0.007837816768710457,0.012909333142304039,0.655,0.8033333333333333,0.8,0.0033333333333332993,-0.008333333333333304,0.015000000000000013,0.6614,600
llava-hf/llava-1.5-7b-hf,pooled,0.75,ours_vs_vanilla,0.8157099697885196,0.8135593220338982,0.002150647754621371,-0.008685315641779625,0.013677426280216964,0.723,0.7966666666666666,0.7983333333333333,-0.0016666666666667052,-0.014999999999999902,0.010000000000000009,0.6836,600
llava-hf/llava-1.5-7b-hf,pooled,0.75,ours_vs_pai,0.8157099697885196,0.8226527570789867,-0.006942787290467045,-0.01764140353561716,0.0027342405790556704,0.1746000000000001,0.7966666666666666,0.8016666666666666,-0.0050000000000000044,-0.016666666666666607,0.0050000000000000044,0.28859999999999997,600
llava-hf/llava-1.5-7b-hf,pooled,1.0,ours_vs_vanilla,0.822289156626506,0.8135593220338982,0.008729834592607788,-0.003482010363234755,0.021579503104676035,0.1682,0.8033333333333333,0.7983333333333333,0.0050000000000000044,-0.008333333333333304,0.018333333333333313,0.5518,600
llava-hf/llava-1.5-7b-hf,pooled,1.0,ours_vs_pai,0.822289156626506,0.8189910979228486,0.0032980587036574027,-0.005877348736586127,0.012058809460093012,0.4686,0.8033333333333333,0.7966666666666666,0.00666666666666671,-0.0033333333333334103,0.01666666666666672,0.2698,600
