split,method,alpha,acc,precision,recall,f1,yes_rate
random,vanilla,0.0,0.865,1.0,0.7378640776699029,0.8491620111731844,0.38
random,pai_uniform,0.25,0.865,1.0,0.7378640776699029,0.8491620111731844,0.38
random,pai_uniform,0.5,0.86,1.0,0.7281553398058253,0.8426966292134831,0.375
random,pai_uniform,0.75,0.86,1.0,0.7281553398058253,0.8426966292134831,0.375
random,pai_uniform,1.0,0.86,1.0,0.7281553398058253,0.8426966292134831,0.375
random,ours_headselective,0.25,0.865,1.0,0.7378640776699029,0.8491620111731844,0.38
random,ours_headselective,0.5,0.87,1.0,0.7475728155339806,0.8555555555555555,0.385
random,ours_headselective,0.75,0.865,1.0,0.7378640776699029,0.8491620111731844,0.38
random,ours_headselective,1.0,0.855,1.0,0.7184466019417476,0.8361581920903954,0.37
popular,vanilla,0.0,0.85,0.9620253164556962,0.7378640776699029,0.8351648351648352,0.395
popular,pai_uniform,0.25,0.85,0.9620253164556962,0.7378640776699029,0.8351648351648352,0.395
popular,pai_uniform,0.5,0.845,0.9615384615384616,0.7281553398058253,0.8287292817679558,0.39
popular,pai_uniform,0.75,0.845,0.9615384615384616,0.7281553398058253,0.8287292817679558,0.39
popular,pai_uniform,1.0,0.845,0.9615384615384616,0.7281553398058253,0.8287292817679558,0.39
popular,ours_headselective,0.25,0.85,0.9620253164556962,0.7378640776699029,0.8351648351648352,0.395
popular,ours_headselective,0.5,0.855,0.9625,0.7475728155339806,0.8415300546448088,0.4
popular,ours_headselective,0.75,0.85,0.9620253164556962,0.7378640776699029,0.8351648351648352,0.395
popular,ours_headselective,1.0,0.84,0.961038961038961,0.7184466019417476,0.8222222222222222,0.385
adversarial,vanilla,0.0,0.845,0.95,0.7378640776699029,0.8306010928961749,0.4
adversarial,pai_uniform,0.25,0.845,0.95,0.7378640776699029,0.8306010928961749,0.4
adversarial,pai_uniform,0.5,0.84,0.9493670886075949,0.7281553398058253,0.8241758241758242,0.395
adversarial,pai_uniform,0.75,0.84,0.9493670886075949,0.7281553398058253,0.8241758241758242,0.395
adversarial,pai_uniform,1.0,0.84,0.9493670886075949,0.7281553398058253,0.8241758241758242,0.395
adversarial,ours_headselective,0.25,0.85,0.9620253164556962,0.7378640776699029,0.8351648351648352,0.395
adversarial,ours_headselective,0.5,0.855,0.9625,0.7475728155339806,0.8415300546448088,0.4
adversarial,ours_headselective,0.75,0.85,0.9620253164556962,0.7378640776699029,0.8351648351648352,0.395
adversarial,ours_headselective,1.0,0.84,0.961038961038961,0.7184466019417476,0.8222222222222222,0.385
