split,method,alpha,acc,precision,recall,f1,yes_rate
random,vanilla,0.0,0.855,0.8627450980392157,0.8543689320388349,0.8585365853658536,0.51
random,pai_uniform,0.5,0.865,0.8584905660377359,0.883495145631068,0.8708133971291866,0.53
random,pai_uniform,1.0,0.85,0.8288288288288288,0.8932038834951457,0.8598130841121495,0.555
random,pai_uniform,2.0,0.85,0.8288288288288288,0.8932038834951457,0.8598130841121495,0.555
random,ours_headselective,0.5,0.865,0.8584905660377359,0.883495145631068,0.8708133971291866,0.53
random,ours_headselective,1.0,0.865,0.8584905660377359,0.883495145631068,0.8708133971291866,0.53
random,ours_headselective,2.0,0.865,0.8392857142857143,0.912621359223301,0.8744186046511627,0.56
popular,vanilla,0.0,0.815,0.8,0.8543689320388349,0.8262910798122066,0.55
popular,pai_uniform,0.5,0.815,0.7844827586206896,0.883495145631068,0.8310502283105023,0.58
popular,pai_uniform,1.0,0.82,0.7863247863247863,0.8932038834951457,0.8363636363636364,0.585
popular,pai_uniform,2.0,0.82,0.7863247863247863,0.8932038834951457,0.8363636363636364,0.585
popular,ours_headselective,0.5,0.82,0.7913043478260869,0.883495145631068,0.834862385321101,0.575
popular,ours_headselective,1.0,0.82,0.7913043478260869,0.883495145631068,0.834862385321101,0.575
popular,ours_headselective,2.0,0.805,0.7580645161290323,0.912621359223301,0.8281938325991189,0.62
adversarial,vanilla,0.0,0.725,0.6875,0.8543689320388349,0.7619047619047619,0.64
adversarial,pai_uniform,0.5,0.72,0.674074074074074,0.883495145631068,0.7647058823529412,0.675
adversarial,pai_uniform,1.0,0.72,0.6715328467153284,0.8932038834951457,0.7666666666666666,0.685
adversarial,pai_uniform,2.0,0.725,0.6791044776119403,0.883495145631068,0.7679324894514767,0.67
adversarial,ours_headselective,0.5,0.725,0.6791044776119403,0.883495145631068,0.7679324894514767,0.67
adversarial,ours_headselective,1.0,0.725,0.6791044776119403,0.883495145631068,0.7679324894514767,0.67
adversarial,ours_headselective,2.0,0.72,0.6666666666666666,0.912621359223301,0.7704918032786886,0.705
random,vcd,1.0,0.48,0.0,0.0,0.0,0.0
popular,vcd,1.0,0.48,0.0,0.0,0.0,0.0
adversarial,vcd,1.0,0.48,0.0,0.0,0.0,0.0
