split,method,alpha,acc,precision,recall,f1,yes_rate
random,vanilla,0.0,0.855,0.8627450980392157,0.8543689320388349,0.8585365853658536,0.51
random,pai_uniform,0.25,0.87,0.8811881188118812,0.8640776699029126,0.8725490196078431,0.505
random,pai_uniform,0.5,0.865,0.8584905660377359,0.883495145631068,0.8708133971291866,0.53
random,pai_uniform,0.75,0.86,0.8440366972477065,0.8932038834951457,0.8679245283018868,0.545
random,pai_uniform,1.0,0.85,0.8288288288288288,0.8932038834951457,0.8598130841121495,0.555
random,ours_headselective,0.25,0.855,0.8557692307692307,0.8640776699029126,0.8599033816425121,0.52
random,ours_headselective,0.5,0.865,0.8584905660377359,0.883495145631068,0.8708133971291866,0.53
random,ours_headselective,0.75,0.865,0.8653846153846154,0.8737864077669902,0.8695652173913043,0.52
random,ours_headselective,1.0,0.865,0.8584905660377359,0.883495145631068,0.8708133971291866,0.53
popular,vanilla,0.0,0.815,0.8,0.8543689320388349,0.8262910798122066,0.55
popular,pai_uniform,0.25,0.815,0.7946428571428571,0.8640776699029126,0.827906976744186,0.56
popular,pai_uniform,0.5,0.815,0.7844827586206896,0.883495145631068,0.8310502283105023,0.58
popular,pai_uniform,0.75,0.82,0.7863247863247863,0.8932038834951457,0.8363636363636364,0.585
popular,pai_uniform,1.0,0.82,0.7863247863247863,0.8932038834951457,0.8363636363636364,0.585
popular,ours_headselective,0.25,0.815,0.7946428571428571,0.8640776699029126,0.827906976744186,0.56
popular,ours_headselective,0.5,0.82,0.7913043478260869,0.883495145631068,0.834862385321101,0.575
popular,ours_headselective,0.75,0.81,0.782608695652174,0.8737864077669902,0.8256880733944955,0.575
popular,ours_headselective,1.0,0.82,0.7913043478260869,0.883495145631068,0.834862385321101,0.575
adversarial,vanilla,0.0,0.725,0.6875,0.8543689320388349,0.7619047619047619,0.64
adversarial,pai_uniform,0.25,0.715,0.6742424242424242,0.8640776699029126,0.7574468085106382,0.66
adversarial,pai_uniform,0.5,0.72,0.674074074074074,0.883495145631068,0.7647058823529412,0.675
adversarial,pai_uniform,0.75,0.725,0.6764705882352942,0.8932038834951457,0.7698744769874478,0.68
adversarial,pai_uniform,1.0,0.72,0.6715328467153284,0.8932038834951457,0.7666666666666666,0.685
adversarial,ours_headselective,0.25,0.725,0.6846153846153846,0.8640776699029126,0.7639484978540773,0.65
adversarial,ours_headselective,0.5,0.725,0.6791044776119403,0.883495145631068,0.7679324894514767,0.67
adversarial,ours_headselective,0.75,0.715,0.6716417910447762,0.8737864077669902,0.759493670886076,0.67
adversarial,ours_headselective,1.0,0.725,0.6791044776119403,0.883495145631068,0.7679324894514767,0.67
