layer,head,cluster,role,p1_box_iou,p1_entropy,p1_mass_in_box,p1_pointing,p1_topk_prec,p3_cond_kld,p5_head_entropy,p5_sink16,p5_sink_stability,p6_occluded_mass,p6_reroute_kld,p8_mass_when_correct
0,0,0,unassigned,0.125641,4.981524,0.060140,0.005000,0.139712,nan,1.612909,0.443848,0.974121,0.086837,0.165321,0.000000
0,1,2,unassigned,0.040268,5.385159,0.033785,0.092500,0.047212,nan,2.035698,0.091187,0.979492,0.082258,0.066192,0.000000
0,2,0,grounding,0.135576,5.243515,0.063407,0.010000,0.150096,nan,2.275174,0.371826,0.990723,0.083524,0.128729,0.000000
0,3,0,grounding,0.117656,2.707538,0.107287,0.005000,0.131058,nan,1.650549,0.452881,0.989746,0.063595,0.716936,0.000000
0,4,0,unassigned,0.094999,5.355412,0.045888,0.132500,0.108750,nan,2.576452,0.265381,0.974121,0.076736,0.067801,0.000000
0,5,2,unassigned,0.052819,5.397548,0.039355,0.090000,0.060096,nan,1.963728,0.025223,0.958984,0.077645,0.071179,0.000000
0,6,1,unassigned,0.079456,5.455227,0.040837,0.130000,0.090192,nan,1.090555,0.060883,0.978516,0.097027,0.160270,0.000000
0,7,2,reroute,0.072594,3.186679,0.035969,0.015000,0.084712,nan,1.005023,0.117737,0.960938,0.129067,0.291316,0.000000
0,8,0,unassigned,0.129607,5.180430,0.055613,0.015000,0.144135,nan,1.884253,0.230225,0.990723,0.089564,0.076280,0.000000
0,9,1,sink,0.026094,5.363247,0.027799,0.017500,0.031346,nan,1.589066,0.579102,0.971191,0.107143,0.091309,0.000000
0,10,2,reroute,0.092392,1.935762,0.053999,0.012500,0.105481,nan,1.805116,0.074158,0.989258,0.053265,1.022756,0.000000
0,11,0,unassigned,0.113793,5.123109,0.057032,0.032500,0.127885,nan,1.589382,0.213501,0.980469,0.128568,0.159849,0.000000
0,12,1,unassigned,0.074527,5.243132,0.038376,0.015000,0.087115,nan,1.982948,0.320557,0.982910,0.108739,0.097191,0.000000
0,13,1,sink,0.098042,5.387721,0.038755,0.007500,0.111923,nan,1.980025,0.531738,0.983887,0.080980,0.041130,0.000000
