layer,head,cluster,role,p1_box_iou,p1_entropy,p1_mass_in_box,p1_pointing,p1_topk_prec,p3_cond_kld,p5_head_entropy,p5_sink16,p5_sink_stability,p6_occluded_mass,p6_reroute_kld,p8_mass_when_correct
0,0,1,unassigned,0.020314,5.920486,0.027539,0.002500,0.022672,0.000691,2.728340,0.002405,1.000000,0.109466,0.049690,0.000000
0,1,1,unassigned,0.016149,6.303156,0.025302,0.000000,0.017931,0.001376,2.662635,0.020630,0.968750,0.149019,0.007242,0.000000
0,2,3,grounding,0.062905,6.302484,0.032250,0.005000,0.073190,0.000950,2.718311,0.030884,0.961426,0.133624,0.029057,0.000000
0,3,1,unassigned,0.013200,5.359378,0.020913,0.002500,0.014612,0.003932,2.654148,0.002960,1.000000,0.102675,0.026732,0.000000
0,4,3,unassigned,0.035545,6.201420,0.031210,0.012500,0.040560,0.003557,2.586114,0.017899,0.969727,0.141711,0.049083,0.000000
0,5,1,unassigned,0.011470,6.312307,0.024413,0.005000,0.012931,0.000131,2.686792,0.021790,0.972656,0.148933,0.005688,0.000000
0,6,3,unassigned,0.030615,6.291460,0.028316,0.027500,0.035733,0.002429,2.553192,0.024399,0.966797,0.158192,0.019001,0.000000
0,7,1,cond,0.014996,6.125967,0.024870,0.010000,0.018103,0.049553,2.645155,0.014336,0.976074,0.154038,0.010084,0.000000
0,8,1,unassigned,0.018206,5.276081,0.019582,0.002500,0.019828,0.001973,2.728316,0.001000,1.000000,0.096560,0.051717,0.000000
0,9,3,sink,0.030821,6.320367,0.026544,0.047500,0.035690,0.003376,2.524214,0.032043,0.974609,0.152572,0.013353,0.000000
0,10,1,unassigned,0.018164,6.132769,0.027951,0.007500,0.020431,0.000736,2.693171,0.015823,0.958984,0.124386,0.020109,0.000000
0,11,1,unassigned,0.013345,6.044338,0.021703,0.007500,0.015172,0.013341,2.458167,0.013512,0.974609,0.141535,0.022713,0.000000
0,12,1,unassigned,0.014527,5.963840,0.023610,0.002500,0.015690,0.002184,2.241022,0.010284,0.966309,0.133169,0.023836,0.000000
0,13,3,grounding,0.095036,6.309191,0.033255,0.012500,0.107629,0.001248,2.649714,0.032440,0.954102,0.140928,0.026735,0.000000
0,14,1,unassigned,0.007841,6.316689,0.022070,0.012500,0.009612,0.000911,2.614470,0.027283,0.964355,0.160345,0.019436,0.000000
0,15,0,unassigned,0.013313,5.363913,0.022247,0.005000,0.015517,0.001370,2.267698,0.003389,0.585938,0.144298,0.234528,0.000000
0,16,1,unassigned,0.033141,6.253641,0.029904,0.007500,0.037629,0.001461,2.647104,0.020340,0.963867,0.139274,0.016574,0.000000
0,17,1,unassigned,0.018496,6.329127,0.025799,0.000000,0.021078,0.000470,2.657301,0.027557,0.982422,0.148802,0.005539,0.000000
0,18,1,unassigned,0.014563,5.261468,0.018749,0.000000,0.016164,0.008048,2.329921,0.001724,1.000000,0.084283,0.056195,0.000000
0,19,1,unassigned,0.013899,5.843575,0.022990,0.005000,0.015517,0.004448,2.734792,0.005104,1.000000,0.122633,0.095639,0.000000
0,20,3,grounding,0.055036,6.303346,0.029764,0.032500,0.063836,0.001625,2.591293,0.026627,0.966797,0.161077,0.024663,0.000000
0,21,0,reroute,0.007035,6.039323,0.015705,0.002500,0.008750,0.001958,2.249287,0.032013,0.946777,0.221833,0.280139,0.000000
0,22,0,cond,0.029699,6.087997,0.028875,0.002500,0.035862,0.091870,1.958209,0.052612,0.953125,0.178603,0.119588,0.000000
0,23,3,cond,0.025311,6.179428,0.030109,0.010000,0.030690,0.054289,2.582872,0.029480,0.930176,0.132050,0.037622,0.000000
0,24,1,cond,0.020244,6.147798,0.025040,0.020000,0.024267,0.050759,2.635498,0.013275,0.968262,0.150827,0.018991,0.000000
0,25,0,reroute,0.043450,4.829399,0.033517,0.012500,0.049741,0.001320,2.041710,0.001884,-0.084961,0.110586,0.530373,0.000000
0,26,3,grounding,0.041174,5.957964,0.032976,0.002500,0.048276,0.020502,2.497157,0.003784,0.908691,0.130292,0.087468,0.000000
0,27,1,unassigned,0.023629,6.268719,0.029323,0.012500,0.028147,0.004970,2.617589,0.022339,0.955078,0.146958,0.022508,0.000000
0,28,0,sink,0.037251,6.302648,0.028274,0.010000,0.043879,0.000956,2.421917,0.031982,0.965820,0.164849,0.028257,0.000000
0,29,0,unassigned,0.027188,5.456200,0.029158,0.002500,0.030086,0.000210,2.305837,0.004288,0.919434,0.104464,0.064193,0.000000
0,30,1,unassigned,0.014451,6.202274,0.023973,0.010000,0.017586,0.025124,2.613393,0.014908,0.919922,0.168586,0.043097,0.000000
0,31,3,sink,0.035945,6.282785,0.027999,0.010000,0.042931,0.023598,2.503896,0.036713,0.962891,0.156622,0.023517,0.000000
1,32,1,unassigned,0.061761,5.883504,0.038447,0.010000,0.071034,0.003406,2.479801,0.000708,1.000000,0.155135,0.178415,0.000000
1,33,1,unassigned,0.065632,6.200064,0.031805,0.015000,0.075259,0.000921,2.058835,0.041473,0.950684,0.155903,0.089505,0.000000
1,34,0,unassigned,0.070010,5.565883,0.040870,0.012500,0.080216,0.000280,2.400037,0.008972,0.673828,0.139230,0.331988,0.000000
1,35,1,unassigned,0.047438,6.094342,0.036194,0.010000,0.054483,0.000459,2.010131,0.043854,0.957520,0.151750,0.109689,0.000000
1,36,1,unassigned,0.067198,6.273965,0.032193,0.010000,0.076422,0.000265,2.158663,0.025238,0.962402,0.146861,0.031701,0.000000
1,37,1,unassigned,0.024158,6.141719,0.028837,0.030000,0.026164,0.000535,2.452030,0.019791,0.960938,0.135414,0.020448,0.000000
1,38,3,unassigned,0.112853,6.071506,0.040315,0.012500,0.126034,0.001866,1.949440,0.050476,0.942871,0.155475,0.168934,0.000000
1,39,1,unassigned,0.043947,6.134140,0.030771,0.010000,0.050991,0.002016,1.935745,0.019745,0.964844,0.153598,0.080879,0.000000
1,40,0,sink,0.070122,6.129689,0.032034,0.012500,0.080776,0.000966,1.641081,0.118103,0.966797,0.181147,0.182214,0.000000
1,41,3,cond,0.074024,6.111315,0.041889,0.055000,0.084871,0.034665,1.467589,0.107056,0.976074,0.150930,0.075725,0.000000
1,42,1,unassigned,0.081513,5.916741,0.043086,0.012500,0.092759,0.002092,1.905823,0.013123,0.954590,0.155039,0.199245,0.000000
1,43,0,sink,0.126882,6.209065,0.037248,0.010000,0.140560,0.001647,1.794545,0.124756,0.978516,0.157915,0.131545,0.000000
1,44,1,unassigned,0.040981,5.931576,0.033183,0.015000,0.047026,0.000325,2.468408,0.010300,0.778809,0.155244,0.175410,0.000000
1,45,3,unassigned,0.108719,6.184677,0.047039,0.095000,0.121767,0.001657,2.108825,0.068726,0.967773,0.146722,0.066851,0.000000
1,46,1,unassigned,0.053908,6.128377,0.032138,0.010000,0.062155,0.003657,1.870868,0.036591,0.962891,0.151163,0.118215,0.000000
1,47,0,cond,0.089565,5.754662,0.041765,0.007500,0.101078,0.013326,1.662112,0.034637,0.916016,0.170648,0.513549,0.000000
1,48,3,grounding,0.128250,5.895411,0.056302,0.010000,0.141940,0.002999,1.554342,0.048553,0.952637,0.168231,0.312895,0.000000
1,49,0,reroute,0.111360,4.914165,0.098074,0.020000,0.125086,0.000596,1.849016,0.030914,0.937988,0.216301,1.180270,0.000000
1,50,3,sink,0.120496,6.196751,0.043868,0.015000,0.134138,0.002353,1.716484,0.079834,0.968262,0.155633,0.102801,0.000000
1,51,1,unassigned,0.092628,6.055588,0.041054,0.012500,0.104741,0.005959,1.350619,0.029053,0.954590,0.161500,0.151939,0.000000
1,52,1,unassigned,0.063368,6.184311,0.032888,0.010000,0.073147,0.000573,2.041786,0.067871,0.966309,0.150881,0.084953,0.000000
1,53,1,unassigned,0.044961,5.657570,0.033590,0.007500,0.051853,0.000405,2.540110,0.015480,0.834473,0.149488,0.380101,0.000000
1,54,2,unassigned,0.083266,5.681972,0.044671,0.010000,0.094569,0.005586,2.223292,0.002605,0.453613,0.161603,0.367659,0.000000
1,55,0,reroute,0.116787,5.363507,0.082593,0.020000,0.130603,0.000966,1.435202,0.114014,0.963379,0.201004,0.761366,0.000000
1,56,0,unassigned,0.101169,6.037354,0.037414,0.012500,0.114095,0.009106,1.906085,0.053162,0.934570,0.163282,0.220418,0.000000
1,57,3,unassigned,0.085579,5.879419,0.053446,0.065000,0.096466,0.000662,1.611579,0.014008,0.960938,0.158013,0.193233,0.000000
1,58,1,unassigned,0.109308,6.171627,0.040185,0.010000,0.122629,0.000454,2.207858,0.029205,0.957520,0.163873,0.151398,0.000000
1,59,3,grounding,0.117180,5.915156,0.057361,0.012500,0.130560,0.007205,2.362129,0.011604,0.846680,0.175345,0.287887,0.000000
1,60,3,unassigned,0.107209,5.932415,0.047477,0.012500,0.119914,0.008153,1.684083,0.070618,0.944336,0.155087,0.267924,0.000000
1,61,1,unassigned,0.064419,6.102796,0.034287,0.012500,0.074009,0.001097,1.908473,0.028549,0.970215,0.136158,0.065272,0.000000
1,62,1,unassigned,0.019071,5.804894,0.029204,0.015000,0.020603,0.000439,2.179797,0.012520,0.935547,0.133685,0.065200,0.000000
1,63,1,unassigned,0.079344,5.906003,0.040415,0.012500,0.090517,0.000826,2.290307,0.029846,0.895508,0.163471,0.266931,0.000000
2,64,0,unassigned,0.073932,2.344807,0.018960,0.010000,0.083578,0.004380,0.009383,0.816895,0.977051,0.150590,4.860841,0.000000
2,65,1,unassigned,0.074657,2.760265,0.023506,0.010000,0.084440,0.001113,0.010528,0.749512,0.975586,0.136604,3.654692,0.000000
2,66,3,cond,0.084792,2.845768,0.034060,0.010000,0.095345,0.007230,0.011902,0.679199,0.977539,0.155571,4.232596,0.000000
2,67,0,unassigned,0.088751,2.458525,0.025053,0.010000,0.100517,0.000294,0.009119,0.815918,0.979004,0.155990,4.389152,0.000000
2,68,1,unassigned,0.065335,3.065825,0.018962,0.010000,0.074698,0.003816,0.022161,0.617188,0.974609,0.124395,3.417980,0.000000
2,69,0,cond,0.087124,2.446022,0.023490,0.010000,0.098190,0.007064,0.008510,0.752441,0.982910,0.149477,4.770038,0.000000
2,70,1,cond,0.057354,3.445831,0.022731,0.010000,0.066250,0.012668,0.019464,0.735352,0.968262,0.149815,2.971584,0.000000
2,71,0,unassigned,0.080173,2.301108,0.017993,0.010000,0.090345,0.004188,0.007503,0.608398,0.974609,0.137883,4.368635,0.000000
2,72,1,unassigned,0.075112,2.746709,0.025783,0.010000,0.085000,0.002627,0.009320,0.558594,0.978027,0.150320,4.253473,0.000000
2,73,3,grounding,0.104527,3.221938,0.062755,0.010000,0.117629,0.001392,0.012101,0.704590,0.966797,0.173295,3.934269,0.000000
2,74,1,unassigned,0.045242,2.908605,0.021596,0.010000,0.051422,0.001216,0.009508,0.803223,0.972656,0.143085,4.100670,0.000000
2,75,0,unassigned,0.095819,1.885389,0.015786,0.010000,0.108017,0.002648,0.008153,0.784668,0.970703,0.138361,5.401497,0.000000
2,76,0,unassigned,0.088742,2.455621,0.023779,0.010000,0.099612,0.002856,0.009571,0.767090,0.977539,0.144601,4.966200,0.000000
2,77,0,sink,0.083709,2.103019,0.017480,0.010000,0.095000,0.002805,0.014791,0.822754,0.977051,0.150231,5.280376,0.000000
2,78,1,unassigned,0.054034,2.396313,0.015383,0.010000,0.061810,0.000768,0.010129,0.513184,0.970215,0.126313,4.899511,0.000000
2,79,0,unassigned,0.065142,2.148769,0.016708,0.010000,0.074095,0.000278,0.004625,0.737305,0.979492,0.127320,5.390552,0.000000
2,80,0,unassigned,0.091241,1.982966,0.020961,0.010000,0.102198,0.001481,0.005657,0.815918,0.979004,0.141939,5.529409,0.000000
2,81,0,unassigned,0.073614,2.333537,0.018359,0.010000,0.083534,0.004681,0.008866,0.704102,0.970215,0.146261,4.963951,0.000000
2,82,1,cond,0.078000,3.114275,0.031330,0.010000,0.087931,0.008930,0.009201,0.691895,0.976562,0.154346,3.999218,0.000000
2,83,3,sink,0.105527,2.541086,0.024658,0.010000,0.118060,0.003847,0.015226,0.829590,0.976562,0.153342,4.510391,0.000000
2,84,1,unassigned,0.053189,2.676993,0.018173,0.010000,0.060776,0.001314,0.010885,0.705566,0.968750,0.141079,4.308238,0.000000
2,85,3,grounding,0.112897,3.751639,0.093908,0.010000,0.126164,0.000800,0.018292,0.758301,0.977051,0.195434,2.792236,0.000000
2,86,1,sink,0.084239,3.107788,0.041326,0.010000,0.095474,0.000349,0.006768,0.862793,0.979492,0.151642,3.863772,0.000000
2,87,3,grounding,0.096363,3.347502,0.062290,0.010000,0.108836,0.000582,0.008129,0.835938,0.983398,0.147865,3.213929,0.000000
2,88,0,unassigned,0.073774,2.266278,0.020486,0.010000,0.083362,0.006156,0.005609,0.797363,0.969727,0.144524,5.027276,0.000000
2,89,1,unassigned,0.030685,3.100811,0.020573,0.010000,0.034526,0.000561,0.004415,0.765137,0.971191,0.125257,3.739155,0.000000
2,90,2,unassigned,0.100998,2.829824,0.023633,0.010000,0.113793,0.001019,0.033597,0.798340,0.968750,0.152005,3.954719,0.000000
2,91,1,unassigned,0.046467,2.594821,0.016511,0.010000,0.052888,0.002025,0.006616,0.681641,0.983398,0.128104,4.693728,0.000000
2,92,1,unassigned,0.058972,2.978317,0.022127,0.010000,0.066853,0.001245,0.011882,0.479980,0.966309,0.146579,3.883341,0.000000
2,93,1,unassigned,0.072405,2.305052,0.019308,0.010000,0.081724,0.004062,0.005312,0.642090,0.975098,0.132236,4.386935,0.000000
2,94,0,cond,0.070722,2.182301,0.019424,0.010000,0.080086,0.009507,0.006469,0.753418,0.983887,0.140109,5.223130,0.000000
2,95,1,unassigned,0.073015,2.598506,0.021546,0.010000,0.082155,0.002219,0.011266,0.635254,0.975586,0.141507,4.134889,0.000000
3,96,1,unassigned,0.035345,3.999030,0.025837,0.010000,0.040172,0.002919,0.016576,0.733398,0.977051,0.146400,3.418544,0.000000
3,97,1,unassigned,0.014198,2.259602,0.010577,0.010000,0.015603,0.000859,0.005580,0.899902,0.978027,0.126167,5.012423,0.000000
3,98,3,unassigned,0.063706,1.913193,0.013739,0.012500,0.072414,0.002866,0.004834,0.862793,0.977051,0.154442,6.136275,0.000000
3,99,0,unassigned,0.054259,2.343577,0.016870,0.010000,0.061681,0.003875,0.002884,0.889160,0.976562,0.131453,5.228215,0.000000
3,100,1,unassigned,0.020771,2.476426,0.012868,0.010000,0.023534,0.001004,0.004049,0.929688,0.980469,0.140162,5.408833,0.000000
3,101,0,sink,0.066681,1.771397,0.013667,0.010000,0.074569,0.002213,0.002951,0.944824,0.970215,0.147638,6.574613,0.000000
